2026 年 2 月分车型 TP重心 (数据桶),品牌,子车型,日期 年/月,燃料类型 (组),燃料类型 (组) 1,车型,车身形式,TP重心,销量,2026 年 2 月分车型 TP重心
0K,尊界,尊界S800 EV,2026年2月,新能源,BEV,尊界S800,轿车,,,
0K,尊界,尊界S800 REEV,2026年2月,新能源,PHEV 和 REEV,尊界S800,轿车,,,
0K,启源,A06 EV,2026年2月,新能源,BEV,A06,轿车,,,
0K,启源,A06 REEV,2026年2月,新能源,PHEV 和 REEV,A06,轿车,,,
0K,启源,A07 EV,2026年2月,新能源,BEV,A07,轿车,,,
0K,启源,A07 REEV,2026年2月,新能源,PHEV 和 REEV,A07,轿车,,,
0K,埃安,AION i60 EV,2026年2月,新能源,BEV,AION i60,SUV,,,
0K,埃安,AION i60 REEV,2026年2月,新能源,PHEV 和 REEV,AION i60,SUV,,,
0K,埃安,AION LX,2026年2月,新能源,BEV,AION LX,SUV,,,
0K,埃安,AION RT,2026年2月,新能源,BEV,AION RT,轿车,,,
0K,埃安,AION UT,2026年2月,新能源,BEV,AION UT,轿车,,,
0K,埃安,AION UT super,2026年2月,新能源,BEV,AION UT super,轿车,,,
0K,埃安,AION V EV,2026年2月,新能源,BEV,AION V,SUV,,,
0K,埃安,AION Y,2026年2月,新能源,BEV,AION Y,SUV,,,
0K,奔驰,AMG GT PHEV,2026年2月,新能源,PHEV 和 REEV,AMG GT,跑车,,,
0K,迈凯伦,Artura,2026年2月,新能源,PHEV 和 REEV,Artura,跑车,,,
0K,北京越野,BJ40 REEV,2026年2月,新能源,PHEV 和 REEV,BJ40,SUV,,,
0K,北京越野,BJ60 REEV,2026年2月,新能源,PHEV 和 REEV,BJ60,SUV,,,
0K,丰田,bZ3,2026年2月,新能源,BEV,bZ3,轿车,,,
0K,丰田,bZ5,2026年2月,新能源,BEV,bZ5,SUV,,,
0K,奔驰,C级 eL,2026年2月,新能源,PHEV 和 REEV,C级,轿车,,,
0K,奔驰,C级AMG PHEV,2026年2月,新能源,PHEV 和 REEV,C级AMG,轿车,,,
0K,奔驰,CLA级,2026年2月,新能源,BEV,CLA级,轿车,,,
0K,长安,CS55 PLUS PHEV,2026年2月,新能源,PHEV 和 REEV,CS55,SUV,,,
0K,MG,Cyberster,2026年2月,新能源,BEV,Cyberster,跑车,,,
0K,荣威,D5X DMH,2026年2月,新能源,PHEV 和 REEV,D5X,SUV,,,
0K,荣威,D6,2026年2月,新能源,BEV,D6,轿车,,,
0K,荣威,D7 DMH,2026年2月,新能源,PHEV 和 REEV,D7,轿车,,,
0K,荣威,D7 EV,2026年2月,新能源,BEV,D7,轿车,,,
0K,奥迪,E5 Sportback,2026年2月,新能源,BEV,E5 Sportback,轿车,,,
0K,广汽传祺,E8,2026年2月,新能源,PHEV 和 REEV,E8,MPV,,,
0K,广汽传祺,E9,2026年2月,新能源,PHEV 和 REEV,E9,MPV,,,
0K,启源,E07 EV,2026年2月,新能源,BEV,E07,SUV,,,
0K,启源,E07 REEV,2026年2月,新能源,PHEV 和 REEV,E07,SUV,,,
0K,红旗,E-QM5,2026年2月,新能源,BEV,E-QM5,轿车,,,
0K,本田,e:NS2猎光,2026年2月,新能源,BEV,e:NS2猎光,SUV,,,
0K,奔驰,E级 PHEV,2026年2月,新能源,PHEV 和 REEV,E级,轿车,,,
0K,红旗,EH7,2026年2月,新能源,BEV,EH7,轿车,,,
0K,莲花跑车,ELETRE,2026年2月,新能源,BEV,ELETRE,SUV,,,
0K,沃尔沃,EM90 EV,2026年2月,新能源,BEV,EM90,MPV,,,
0K,莲花跑车,EMEYA,2026年2月,新能源,BEV,EMEYA,轿车,,,
0K,现代,EO 羿欧,2026年2月,新能源,BEV,EO 羿欧,SUV,,,
0K,奔驰,EQA,2026年2月,新能源,BEV,EQA,SUV,,,
0K,奔驰,EQB,2026年2月,新能源,BEV,EQB,SUV,,,
0K,奔驰,EQE,2026年2月,新能源,BEV,EQE,轿车,,,
0K,奔驰,EQE AMG,2026年2月,新能源,BEV,EQE AMG,轿车,,,
0K,奔驰,EQE SUV,2026年2月,新能源,BEV,EQE SUV,SUV,,,
0K,奔驰,EQE SUV AMG,2026年2月,新能源,BEV,EQE SUV AMG,SUV,,,
0K,奔驰,EQS,2026年2月,新能源,BEV,EQS,轿车,,,
0K,奔驰,EQS AMG,2026年2月,新能源,BEV,EQS,轿车,,,
0K,奔驰,EQS SUV,2026年2月,新能源,BEV,EQS SUV,SUV,,,
0K,梅赛德斯-迈巴赫,EQS SUV,2026年2月,新能源,BEV,EQS SUV,SUV,,,
0K,荣威,eRX5 PHEV,2026年2月,新能源,PHEV 和 REEV,RX5,SUV,,,
0K,广汽传祺,ES9,2026年2月,新能源,PHEV 和 REEV,ES9,SUV,,,
0K,北京汽车,EU5 PLUS,2026年2月,新能源,BEV,EU系列,轿车,,,
0K,起亚,EV5,2026年2月,新能源,BEV,EV5,SUV,,,
0K,创维汽车,EV6,2026年2月,新能源,BEV,EV6,SUV,,,
0K,起亚,EV6,2026年2月,新能源,BEV,EV6,SUV,,,
0K,沃尔沃,EX30,2026年2月,新能源,BEV,EX30,SUV,,,
0K,马自达,EZ-6 EV,2026年2月,新能源,BEV,EZ-6,轿车,,,
0K,马自达,EZ-6 REEV,2026年2月,新能源,PHEV 和 REEV,EZ-6,轿车,,,
0K,马自达,EZ-60 EV,2026年2月,新能源,BEV,EZ-60,SUV,,,
0K,马自达,EZ-60 REEV,2026年2月,新能源,PHEV 和 REEV,EZ-60,SUV,,,
0K,东风奕派,eπ007 EV,2026年2月,新能源,BEV,eπ007,轿车,,,
0K,东风奕派,eπ007 REEV,2026年2月,新能源,PHEV 和 REEV,eπ007,轿车,,,
0K,东风奕派,eπ007+ EV,2026年2月,新能源,BEV,eπ007+,轿车,,,
0K,东风奕派,eπ007+ REEV,2026年2月,新能源,PHEV 和 REEV,eπ007+,轿车,,,
0K,东风奕派,eπ008 EV,2026年2月,新能源,BEV,eπ008,SUV,,,
0K,东风奕派,eπ008 REEV,2026年2月,新能源,PHEV 和 REEV,eπ008,SUV,,,
0K,飞凡,F7,2026年2月,新能源,BEV,F7,轿车,,,
0K,小鹏,G6,2026年2月,新能源,BEV,G6,SUV,,,
0K,小鹏,G7,2026年2月,新能源,BEV,G7,SUV,,,
0K,小鹏,G7 REEV,2026年2月,新能源,PHEV 和 REEV,G7,SUV,,,
0K,小鹏,G9,2026年2月,新能源,BEV,G9,SUV,,,
0K,深蓝,G318,2026年2月,新能源,PHEV 和 REEV,G318,SUV,,,
0K,奔驰,G级 EV,2026年2月,新能源,BEV,G级,SUV,,,
0K,别克,GL8 PHEV,2026年2月,新能源,PHEV 和 REEV,GL8,MPV,,,
0K,奔驰,GLC级 e,2026年2月,新能源,PHEV 和 REEV,GLC级,SUV,,,
0K,奔驰,GLE级 e,2026年2月,新能源,PHEV 和 REEV,GLE级,SUV,,,
0K,红旗,H5 PHEV,2026年2月,新能源,PHEV 和 REEV,H5,轿车,,,
0K,红旗,HQ9 PHEV,2026年2月,新能源,PHEV 和 REEV,HQ9,MPV,,,
0K,红旗,HS3 PHEV,2026年2月,新能源,PHEV 和 REEV,HS3,SUV,,,
0K,红旗,HS6 PHEV,2026年2月,新能源,PHEV 和 REEV,HS6,SUV,,,
0K,红旗,HS7 PHEV,2026年2月,新能源,PHEV 和 REEV,HS7,SUV,,,
0K,创维汽车,HT-i,2026年2月,新能源,PHEV 和 REEV,HT-i,SUV,,,
0K,宝马,i3,2026年2月,新能源,BEV,i3,轿车,,,
0K,宝马,i4,2026年2月,新能源,BEV,i4,轿车,,,
0K,宝马,i5,2026年2月,新能源,BEV,i5,轿车,,,
0K,宝马,i7,2026年2月,新能源,BEV,i7,轿车,,,
0K,iCAR,iCAR V23,2026年2月,新能源,BEV,iCAR V23,SUV,,,
0K,大众,ID.3,2026年2月,新能源,BEV,ID.3,轿车,,,
0K,大众,ID.4 CROZZ,2026年2月,新能源,BEV,ID.4 CROZZ,SUV,,,
0K,大众,ID.4 X,2026年2月,新能源,BEV,ID.4 X,SUV,,,
0K,大众,ID.6 CROZZ,2026年2月,新能源,BEV,ID.6 CROZZ,SUV,,,
0K,大众,ID.6 X,2026年2月,新能源,BEV,ID.6 X,SUV,,,
0K,大众,ID.7 VIZZION,2026年2月,新能源,BEV,ID.7 VIZZION,轿车,,,
0K,荣威,iMAX8 DMH,2026年2月,新能源,PHEV 和 REEV,iMAX8,MPV,,,
0K,现代,IONIQ 5 N,2026年2月,新能源,BEV,IONIQ 5,SUV,,,
0K,凯迪拉克,IQ傲歌,2026年2月,新能源,BEV,IQ傲歌,SUV,,,
0K,凯迪拉克,IQ锐歌,2026年2月,新能源,BEV,IQ锐歌,SUV,,,
0K,宝马,iX,2026年2月,新能源,BEV,iX,SUV,,,
0K,宝马,iX1,2026年2月,新能源,BEV,iX1,SUV,,,
0K,深蓝,L06 EV,2026年2月,新能源,BEV,L06,轿车,,,
0K,深蓝,L07 EV,2026年2月,新能源,BEV,L07,轿车,,,
0K,深蓝,L07 REEV,2026年2月,新能源,PHEV 和 REEV,L07,轿车,,,
0K,启源,Lumin,2026年2月,新能源,BEV,Lumin,轿车,45675.6118,1139,45675.6118
0K,宝马,M5 PHEV,2026年2月,新能源,PHEV 和 REEV,M5,轿车,,,
0K,荣威,M7 DMH,2026年2月,新能源,PHEV 和 REEV,M7,轿车,,,
0K,保时捷,Macan EV,2026年2月,新能源,BEV,Macan,SUV,,,
0K,MG,MG ES5,2026年2月,新能源,BEV,MG ES5,SUV,,,
0K,MG,MG4 EV,2026年2月,新能源,BEV,MG4 EV,轿车,,,
0K,MINI,MINI ACEMAN,2026年2月,新能源,BEV,MINI ACEMAN,SUV,,,
0K,MINI,MINI COOPER,2026年2月,新能源,BEV,MINI COOPER,轿车,,,
0K,特斯拉,MODEL 3,2026年2月,新能源,BEV,MODEL 3,轿车,,,
0K,特斯拉,MODEL S,2026年2月,新能源,BEV,MODEL S,轿车,,,
0K,特斯拉,MODEL X,2026年2月,新能源,BEV,MODEL X,SUV,,,
0K,特斯拉,MODEL Y,2026年2月,新能源,BEV,MODEL Y,SUV,,,
0K,特斯拉,MODEL Y L,2026年2月,新能源,BEV,MODEL Y L,SUV,,,
0K,小鹏,MONA M03,2026年2月,新能源,BEV,MONA M03,轿车,,,
0K,日产,N6,2026年2月,新能源,PHEV 和 REEV,N6,轿车,,,
0K,日产,N7,2026年2月,新能源,BEV,N7,轿车,,,
0K,雷克萨斯,NX PHEV,2026年2月,新能源,PHEV 和 REEV,NX,SUV,,,
0K,本田,P7,2026年2月,新能源,BEV,P7,SUV,,,
0K,小鹏,P7,2026年2月,新能源,BEV,P7,轿车,,,
0K,小鹏,P7+,2026年2月,新能源,BEV,P7+,轿车,,,
0K,小鹏,P7+ REEV,2026年2月,新能源,PHEV 和 REEV,P7+,轿车,,,
0K,保时捷,PANAMERA PHEV,2026年2月,新能源,PHEV 和 REEV,PANAMERA,轿车,,,
0K,Polestar,Polestar 4,2026年2月,新能源,BEV,Polestar 4,SUV,,,
0K,奥迪,Q4 e-tron,2026年2月,新能源,BEV,Q4,SUV,,,
0K,奥迪,Q5 e-tron,2026年2月,新能源,BEV,Q5 e-tron,SUV,,,
0K,奥迪,Q6L e-tron,2026年2月,新能源,BEV,Q6,SUV,,,
0K,奥迪,Q6L Sportback e-tron,2026年2月,新能源,BEV,Q6,SUV,,,
0K,启源,Q05,2026年2月,新能源,BEV,Q05,SUV,,,
0K,启源,Q07,2026年2月,新能源,PHEV 和 REEV,Q07,SUV,,,
0K,奇瑞QQ,QQ冰淇淋,2026年2月,新能源,BEV,QQ冰淇淋,轿车,37228.244202536,353,37228.244202536
0K,飞凡,R7,2026年2月,新能源,BEV,R7,SUV,,,
0K,兰博基尼,Revuelto,2026年2月,新能源,PHEV 和 REEV,Revuelto,跑车,,,
0K,雷克萨斯,RX PHEV,2026年2月,新能源,PHEV 和 REEV,RX,SUV,,,
0K,雷克萨斯,RZ,2026年2月,新能源,BEV,RZ,SUV,,,
0K,本田,S7,2026年2月,新能源,BEV,S7,SUV,,,
0K,深蓝,S05 EV,2026年2月,新能源,BEV,S05,SUV,,,
0K,深蓝,S05 REEV,2026年2月,新能源,PHEV 和 REEV,S05,SUV,,,
0K,深蓝,S07 EV,2026年2月,新能源,BEV,S07,SUV,,,
0K,深蓝,S07 REEV,2026年2月,新能源,PHEV 和 REEV,S07,SUV,,,
0K,深蓝,S09,2026年2月,新能源,PHEV 和 REEV,S09,SUV,,,
0K,沃尔沃,S90 RECHARGE,2026年2月,新能源,PHEV 和 REEV,S90,轿车,,,
0K,奔驰,S级 eL,2026年2月,新能源,PHEV 和 REEV,S级,轿车,,,
0K,梅赛德斯-迈巴赫,S级PHEV,2026年2月,新能源,PHEV 和 REEV,S级,轿车,,,
0K,东风风神,SKY EV01,2026年2月,新能源,BEV,SKY EV01,SUV,,,
0K,深蓝,SL03 EV,2026年2月,新能源,BEV,SL03,轿车,,,
0K,深蓝,SL03 REEV,2026年2月,新能源,PHEV 和 REEV,SL03,轿车,,,
0K,小米,SU7 Ultra,2026年2月,新能源,BEV,小米SU7,轿车,,,
0K,保时捷,Taycan,2026年2月,新能源,BEV,Taycan,轿车,,,
0K,保时捷,Taycan Cross Turismo,2026年2月,新能源,BEV,Taycan,轿车,,,
0K,仰望,U7 EV,2026年2月,新能源,BEV,U7,轿车,,,
0K,仰望,U7 PHEV,2026年2月,新能源,PHEV 和 REEV,U7,轿车,,,
0K,仰望,U8,2026年2月,新能源,PHEV 和 REEV,U8,SUV,,,
0K,仰望,U8L,2026年2月,新能源,PHEV 和 REEV,U8L,SUV,,,
0K,仰望,U9,2026年2月,新能源,BEV,U9,跑车,,,
0K,长安,UNI-K 智电iDD,2026年2月,新能源,PHEV 和 REEV,UNI-K,SUV,,,
0K,长安,UNI-V 智电iDD,2026年2月,新能源,PHEV 和 REEV,UNI-V,轿车,,,
0K,长安,UNI-Z 智电iDD,2026年2月,新能源,PHEV 和 REEV,UNI-Z,SUV,,,
0K,启辰,VX6,2026年2月,新能源,BEV,VX6,SUV,,,
0K,小鹏,X9 EV,2026年2月,新能源,BEV,X9,MPV,,,
0K,小鹏,X9 REEV,2026年2月,新能源,PHEV 和 REEV,X9,MPV,,,
0K,沃尔沃,XC60 RECHARGE,2026年2月,新能源,PHEV 和 REEV,XC60,SUV,,,
0K,沃尔沃,XC70 PHEV,2026年2月,新能源,PHEV 和 REEV,XC70,SUV,,,
0K,沃尔沃,XC90 RECHARGE,2026年2月,新能源,PHEV 和 REEV,XC90,SUV,,,
0K,宝马,XM,2026年2月,新能源,PHEV 和 REEV,XM,SUV,,,
0K,小米,YU7,2026年2月,新能源,BEV,YU7,SUV,,,
50K,宝马,7系 PHEV,2026年2月,新能源,PHEV 和 REEV,7系,轿车,,,
50K,法拉利,296 GTB,2026年2月,新能源,PHEV 和 REEV,296,跑车,,,
50K,极狐,阿尔法S5 EV,2026年2月,新能源,BEV,阿尔法S5,轿车,,,
50K,极狐,阿尔法S6,2026年2月,新能源,BEV,阿尔法S6,轿车,,,
50K,极狐,阿尔法T5 EV,2026年2月,新能源,BEV,阿尔法T5,SUV,,,
50K,极狐,阿尔法T5 REEV,2026年2月,新能源,PHEV 和 REEV,阿尔法T5,SUV,,,
50K,极狐,阿尔法T6,2026年2月,新能源,BEV,阿尔法T6,SUV,,,
50K,阿维塔,阿维塔06 EV,2026年2月,新能源,BEV,阿维塔06,轿车,,,
50K,阿维塔,阿维塔06 REEV,2026年2月,新能源,PHEV 和 REEV,阿维塔06,轿车,,,
50K,阿维塔,阿维塔07 EV,2026年2月,新能源,BEV,阿维塔07,SUV,,,
50K,阿维塔,阿维塔07 REEV,2026年2月,新能源,PHEV 和 REEV,阿维塔07,SUV,,,
50K,阿维塔,阿维塔11 EV,2026年2月,新能源,BEV,阿维塔11,SUV,,,
50K,阿维塔,阿维塔11 REEV,2026年2月,新能源,PHEV 和 REEV,阿维塔11,SUV,,,
50K,阿维塔,阿维塔12 EV,2026年2月,新能源,BEV,阿维塔12,轿车,,,
50K,阿维塔,阿维塔12 REEV,2026年2月,新能源,PHEV 和 REEV,阿维塔12,轿车,,,
50K,欧拉,芭蕾猫,2026年2月,新能源,BEV,芭蕾猫,轿车,,,
50K,方程豹,豹5,2026年2月,新能源,PHEV 和 REEV,豹5,SUV,,,
50K,方程豹,豹8,2026年2月,新能源,PHEV 和 REEV,豹8,SUV,,,
50K,奔腾,奔腾小马,2026年2月,新能源,BEV,奔腾小马,轿车,,,
50K,别克,别克E5,2026年2月,新能源,BEV,别克E5,SUV,,,
50K,丰田,铂智3X,2026年2月,新能源,BEV,铂智3X,SUV,,,
50K,丰田,铂智4X,2026年2月,新能源,BEV,铂智4X,SUV,,,
50K,迈克萨斯,大家7,2026年2月,新能源,BEV,大家7,MPV,,,
50K,迈克萨斯,大家7超混,2026年2月,新能源,PHEV 和 REEV,大家7,MPV,,,
50K,迈克萨斯,大家9,2026年2月,新能源,BEV,大家9,MPV,,,
50K,迈克萨斯,大家9超混,2026年2月,新能源,PHEV 和 REEV,大家9,MPV,,,
50K,JEEP,大切诺基4xe,2026年2月,新能源,PHEV 和 REEV,大切诺基,SUV,,,
50K,奇瑞QQ,多米,2026年2月,新能源,BEV,多米,轿车,56616.16,117,56616.16
50K,宾利,飞驰PHEV,2026年2月,新能源,PHEV 和 REEV,飞驰,轿车,,,
50K,东风风光,风光E380,2026年2月,新能源,BEV,风光,MPV,,,
50K,东风风神,风神L7 EV,2026年2月,新能源,BEV,风神L7,SUV,,,
50K,东风风神,风神L7 PHEV,2026年2月,新能源,PHEV 和 REEV,风神L7,SUV,,,
50K,东风风神,风神L7X,2026年2月,新能源,BEV,风神L7,SUV,,,
50K,东风风神,风神L8,2026年2月,新能源,PHEV 和 REEV,风神L8,SUV,,,
50K,东风风行,风行雷霆,2026年2月,新能源,BEV,风行雷霆,SUV,,,
50K,东风风行,风行雷霆 REEV,2026年2月,新能源,PHEV 和 REEV,风行雷霆,SUV,,,
50K,风云,风云A8,2026年2月,新能源,PHEV 和 REEV,风云A8,轿车,,,
50K,风云,风云A8L,2026年2月,新能源,PHEV 和 REEV,风云A8,轿车,,,
50K,风云,风云A9L,2026年2月,新能源,PHEV 和 REEV,风云A9,轿车,,,
50K,风云,风云T8,2026年2月,新能源,PHEV 和 REEV,风云T8,SUV,,,
50K,风云,风云T9,2026年2月,新能源,PHEV 和 REEV,风云T9,SUV,,,
50K,风云,风云T10,2026年2月,新能源,PHEV 和 REEV,风云T10,SUV,,,
50K,风云,风云T11,2026年2月,新能源,PHEV 和 REEV,风云T11,SUV,,,
50K,风云,风云X3,2026年2月,新能源,BEV,风云X3,SUV,99989.678,94,99989.678
50K,风云,风云X3 PLUS,2026年2月,新能源,BEV,风云X3 PLUS,SUV,,,
50K,风云,风云X3L,2026年2月,新能源,PHEV 和 REEV,风云X3L,SUV,,,
50K,魏牌,高山DHT-PHEV,2026年2月,新能源,PHEV 和 REEV,高山,MPV,,,
50K,哈弗,哈弗大狗PLUS PHEV,2026年2月,新能源,PHEV 和 REEV,哈弗大狗PLUS,SUV,,,
50K,哈弗,哈弗猛龙PHEV,2026年2月,新能源,PHEV 和 REEV,哈弗猛龙,SUV,,,
50K,哈弗,哈弗枭龙MAX,2026年2月,新能源,PHEV 和 REEV,哈弗枭龙MAX,SUV,,,
50K,比亚迪,海豹 EV,2026年2月,新能源,BEV,海豹,轿车,,,
50K,比亚迪,海豹05 DM-i,2026年2月,新能源,PHEV 和 REEV,海豹05,轿车,78196.0912,2499,78196.0912
50K,比亚迪,海豹06 DM-i,2026年2月,新能源,PHEV 和 REEV,海豹06,轿车,,,
50K,比亚迪,海豹06 DM-i旅行版,2026年2月,新能源,PHEV 和 REEV,海豹06,轿车,,,
50K,比亚迪,海豹06 EV,2026年2月,新能源,BEV,海豹06,轿车,,,
50K,比亚迪,海豹06 GT,2026年2月,新能源,BEV,海豹06,轿车,,,
50K,比亚迪,海豹07 DM-i,2026年2月,新能源,PHEV 和 REEV,海豹07,轿车,,,
50K,比亚迪,海鸥 EV,2026年2月,新能源,BEV,海鸥,轿车,63704.301804302,5758,63704.301804302
50K,比亚迪,海狮05 DM-i,2026年2月,新能源,PHEV 和 REEV,海狮05,SUV,,,
50K,比亚迪,海狮05 EV,2026年2月,新能源,BEV,海狮05,SUV,,,
50K,比亚迪,海狮06 DM-i,2026年2月,新能源,PHEV 和 REEV,海狮06,SUV,,,
50K,比亚迪,海狮06 EV,2026年2月,新能源,BEV,海狮06,SUV,,,
50K,比亚迪,海狮07 DM-i,2026年2月,新能源,PHEV 和 REEV,海狮07,SUV,,,
50K,比亚迪,海狮07 EV,2026年2月,新能源,BEV,海狮07,SUV,,,
50K,比亚迪,海豚 EV,2026年2月,新能源,BEV,海豚,轿车,84231.236668763,6018,84231.236668763
50K,比亚迪,汉DM-i,2026年2月,新能源,PHEV 和 REEV,汉,轿车,,,
50K,比亚迪,汉EV,2026年2月,新能源,BEV,汉,轿车,,,
50K,比亚迪,汉L DM,2026年2月,新能源,PHEV 和 REEV,汉L,轿车,,,
50K,比亚迪,汉L EV,2026年2月,新能源,BEV,汉L,轿车,,,
50K,广汽昊铂,昊铂GT,2026年2月,新能源,BEV,昊铂GT,轿车,,,
50K,广汽昊铂,昊铂HL EV,2026年2月,新能源,BEV,昊铂HL,SUV,,,
50K,广汽昊铂,昊铂HL REEV,2026年2月,新能源,PHEV 和 REEV,昊铂HL,SUV,,,
50K,广汽昊铂,昊铂HT,2026年2月,新能源,BEV,昊铂HT,SUV,,,
50K,本田,皓影e:PHEV,2026年2月,新能源,PHEV 和 REEV,皓影,SUV,,,
50K,五菱,宏光MINI EV,2026年2月,新能源,BEV,宏光MINI EV,轿车,,,
50K,钇为,花仙子,2026年2月,新能源,BEV,花仙子,轿车,58771.182,3,58771.182
50K,极狐,极狐T1,2026年2月,新能源,BEV,极狐T1,轿车,69546.766,3339,69546.766
50K,极氪,极氪7X,2026年2月,新能源,BEV,极氪7X,SUV,,,
50K,极氪,极氪9X,2026年2月,新能源,PHEV 和 REEV,极氪9X,SUV,,,
50K,极氪,极氪001,2026年2月,新能源,BEV,极氪001,轿车,,,
50K,极氪,极氪007,2026年2月,新能源,BEV,极氪007,轿车,,,
50K,极氪,极氪007 GT,2026年2月,新能源,BEV,极氪007,轿车,,,
50K,极氪,极氪009,2026年2月,新能源,BEV,极氪009,MPV,,,
50K,极氪,极氪MIX,2026年2月,新能源,BEV,极氪MIX,MPV,,,
50K,极氪,极氪X,2026年2月,新能源,BEV,极氪X,SUV,,,
50K,本田,极湃2,2026年2月,新能源,BEV,极湃2,SUV,,,
50K,极石,极石ADAMAS,2026年2月,新能源,PHEV 和 REEV,极石ADAMAS,SUV,,,
50K,江淮,江淮QX PHEV,2026年2月,新能源,PHEV 和 REEV,江淮QX PHEV,SUV,,,
50K,江淮,江淮X8 E家,2026年2月,新能源,PHEV 和 REEV,江淮X8,SUV,,,
50K,捷途,捷途X70 C-DM,2026年2月,新能源,PHEV 和 REEV,捷途X70,SUV,,,
50K,捷途,捷途X70 PLUS C-DM,2026年2月,新能源,PHEV 和 REEV,捷途X70,SUV,,,
50K,捷途,捷途X90 C-DM,2026年2月,新能源,PHEV 和 REEV,捷途X90,SUV,,,
50K,smart,精灵#1,2026年2月,新能源,BEV,精灵#1,SUV,,,
50K,smart,精灵#3,2026年2月,新能源,BEV,精灵#3,SUV,,,
50K,smart,精灵#5,2026年2月,新能源,BEV,精灵#5,SUV,,,
50K,smart,精灵#5 EHD,2026年2月,新能源,PHEV 和 REEV,精灵#5,SUV,,,
50K,极狐,考拉,2026年2月,新能源,BEV,考拉,MPV,,,
50K,极狐,考拉S,2026年2月,新能源,BEV,考拉,SUV,,,
50K,岚图,岚图泰山,2026年2月,新能源,PHEV 和 REEV,岚图泰山,SUV,,,
50K,岚图,岚图知音,2026年2月,新能源,BEV,岚图知音,SUV,,,
50K,岚图,岚图追光EV,2026年2月,新能源,BEV,岚图追光,轿车,,,
50K,岚图,岚图追光L PHEV,2026年2月,新能源,PHEV 和 REEV,岚图追光L,轿车,,,
50K,岚图,岚图追光PHEV,2026年2月,新能源,PHEV 和 REEV,岚图追光,轿车,,,
50K,岚图,岚图FREE REEV,2026年2月,新能源,PHEV 和 REEV,岚图FREE,SUV,,,
50K,蓝电,蓝电E5 PLUS,2026年2月,新能源,PHEV 和 REEV,蓝电E5,SUV,,,
50K,魏牌,蓝山DHT-PHEV,2026年2月,新能源,PHEV 和 REEV,蓝山,SUV,,,
50K,乐道,乐道L60,2026年2月,新能源,BEV,乐道L60,SUV,,,
50K,乐道,乐道L90,2026年2月,新能源,BEV,乐道L90,SUV,,,
50K,理想,理想i6,2026年2月,新能源,BEV,理想i6,SUV,,,
50K,理想,理想i8,2026年2月,新能源,BEV,理想i8,SUV,,,
50K,理想,理想L6,2026年2月,新能源,PHEV 和 REEV,理想L6,SUV,,,
50K,理想,理想L7,2026年2月,新能源,PHEV 和 REEV,理想L7,SUV,,,
50K,理想,理想L8,2026年2月,新能源,PHEV 和 REEV,理想L8,SUV,,,
50K,理想,理想L9,2026年2月,新能源,PHEV 和 REEV,理想L9,SUV,,,
50K,理想,理想MEGA,2026年2月,新能源,BEV,理想MEGA,MPV,,,
50K,灵悉,灵悉L,2026年2月,新能源,BEV,灵悉L,轿车,,,
50K,凌宝汽车,凌宝BOX,2026年2月,新能源,BEV,凌宝BOX,轿车,,,
50K,凌宝汽车,凌宝uni,2026年2月,新能源,BEV,凌宝uni,轿车,,,
50K,东风风行,菱智 EV,2026年2月,新能源,BEV,菱智,MPV,129632.133432133,13,69627.945350837
50K,东风风行,菱智REEV,2026年2月,新能源,PHEV 和 REEV,菱智,MPV,102650.374949625,7,69627.945350837
50K,零跑,零跑B01,2026年2月,新能源,BEV,零跑B01,轿车,,,
50K,零跑,零跑B10,2026年2月,新能源,BEV,零跑B10,SUV,,,
50K,零跑,零跑C01 EV,2026年2月,新能源,BEV,零跑C01,轿车,,,
50K,零跑,零跑C01 REEV,2026年2月,新能源,PHEV 和 REEV,零跑C01,轿车,,,
50K,零跑,零跑C10 EV,2026年2月,新能源,BEV,零跑C10,SUV,,,
50K,零跑,零跑C10 REEV,2026年2月,新能源,PHEV 和 REEV,零跑C10,SUV,,,
50K,零跑,零跑C11 EV,2026年2月,新能源,BEV,零跑C11,SUV,,,
50K,零跑,零跑C11 REEV,2026年2月,新能源,PHEV 和 REEV,零跑C11,SUV,,,
50K,零跑,零跑C16 EV,2026年2月,新能源,BEV,零跑C16,SUV,,,
50K,零跑,零跑C16 REEV,2026年2月,新能源,PHEV 和 REEV,零跑C16,SUV,,,
50K,零跑,零跑Lafa5,2026年2月,新能源,BEV,零跑Lafa5,轿车,,,
50K,零跑,零跑T03,2026年2月,新能源,BEV,零跑T03,轿车,50210.31,421,50210.31
50K,领克,领克06 EM-P,2026年2月,新能源,PHEV 和 REEV,领克06,SUV,,,
50K,领克,领克07 EM-P,2026年2月,新能源,PHEV 和 REEV,领克07,轿车,,,
50K,领克,领克08 EM-P,2026年2月,新能源,PHEV 和 REEV,领克08,SUV,,,
50K,领克,领克09 EM-P,2026年2月,新能源,PHEV 和 REEV,领克09,SUV,,,
50K,领克,领克10 EM-P,2026年2月,新能源,PHEV 和 REEV,领克10,轿车,,,
50K,领克,领克900,2026年2月,新能源,PHEV 和 REEV,领克900,SUV,,,
50K,领克,领克Z10,2026年2月,新能源,BEV,领克Z10,轿车,,,
50K,领克,领克Z20,2026年2月,新能源,BEV,领克Z20,SUV,,,
50K,福特,领睿PHEV,2026年2月,新能源,PHEV 和 REEV,领睿,SUV,,,
